id_usuario,volveria
650,1
234,1
31,0
552,0
411,0
134,1
497,1
434,0
528,0
112,1
276,1
446,0
138,0
233,0
457,0
584,1
466,0
773,1
849,0
190,0
349,0
58,0
695,0
817,1
213,0
48,1
600,1
166,0
758,0
654,1
306,0
335,1
80,1
836,1
857,1
776,0
556,0
637,0
100,0
238,1
666,0
32,1
340,0
435,0
160,0
485,1
149,0
215,0
341,0
433,1
851,0
558,0
395,1
833,0
255,1
787,1
554,0
727,1
163,0
430,0
40,1
307,1
837,0
450,0
625,0
738,1
754,0
691,0
42,1
249,0
179,0
862,0
186,0
159,0
14,0
579,1
566,0
74,0
509,0
337,0
228,0
182,0
728,1
246,0
454,1
354,0
82,0
172,0
8,0
640,0
