id_usuario,volveria
650,1
234,0
31,0
552,0
411,0
134,1
497,1
434,0
528,0
112,0
276,1
446,1
138,0
233,0
457,0
584,1
466,0
773,1
849,0
190,0
349,1
58,0
695,0
817,1
213,0
48,1
600,1
166,0
758,0
654,1
306,1
335,1
80,0
836,1
857,1
776,0
556,0
637,0
100,0
238,1
666,0
32,1
340,0
435,1
160,0
485,1
149,0
215,0
341,1
433,1
851,0
558,0
395,1
833,0
255,1
787,1
554,0
727,1
163,0
430,0
40,0
307,1
837,0
450,1
625,0
738,0
754,0
691,0
42,1
249,0
179,0
862,0
186,1
159,0
14,0
579,1
566,0
74,0
509,0
337,1
228,0
182,0
728,1
246,1
454,1
354,0
82,0
172,0
8,0
640,0
